date,name,type,distance_km,moving_time,elapsed_time,avg_hr,max_hr,elevation_gain_m,elevation_loss_m,min_elevation_m,max_elevation_m,avg_pace_min_km,max_pace_min_km,avg_cadence,calories,training_load,aerobic_training_effect,anaerobic_training_effect,vo2max_estimate,activity_id,start_time
2026-03-05,Running,outdoor,5.01,0:24:47,0:25:22,131.0,174.0,12.0,8.0,33.0,42.2,4:56,3:06,165,292.0,80.7044677734375,3.0,1.5,,22066335227,2026-03-05 06:14:13
2026-02-28,Treadmill Running,treadmill,8.18,0:55:46,0:57:11,145.0,171.0,,,,,6:49,5:23,146,697.0,92.0360107421875,3.4000000953674316,0.0,,22018447192,2026-02-28 21:11:27
2026-02-25,Running,outdoor,5.24,0:26:39,0:28:46,164.0,181.0,21.0,15.0,34.2,46.4,5:05,4:01,157,483.0,113.0889892578125,3.5999999046325684,0.0,,21977615357,2026-02-25 06:33:12
2026-02-18,Treadmill Running,treadmill,3.0,0:28:06,0:32:03,,,,,,,9:21,8:59,101,181.0,76.79827880859375,3.200000047683716,0.0,,21949895923,2026-02-18 20:36:06
2026-02-17,Treadmill Running,treadmill,7.28,0:53:33,0:53:53,141.0,174.0,,,,,7:21,5:33,140,589.0,83.59111022949219,3.299999952316284,0.0,,21901468164,2026-02-17 22:23:01
2026-02-08,Running,outdoor,5.75,0:30:11,0:30:34,,,69.0,65.0,56.2,82.8,5:14,4:22,163,539.0,7.828125,0.699999988079071,0.0,,21876763092,2026-02-08 13:32:53
2026-02-05,Fartlek Run,outdoor,6.12,0:32:11,0:32:49,161.0,178.0,48.0,38.0,40.2,57.6,5:15,4:37,163,535.0,115.35403442382812,3.700000047683716,0.0,,21769110876,2026-02-05 06:04:09
2026-02-03,Running,outdoor,9.26,0:50:06,0:50:37,151.0,171.0,42.0,41.0,32.0,45.2,5:24,5:06,159,742.0,129.25450134277344,3.700000047683716,1.399999976158142,,21747259912,2026-02-03 05:07:04
2026-01-25,Running,outdoor,12.01,1:02:48,1:04:04,166.0,184.0,103.0,99.0,65.6,91.4,5:13,4:44,162,1072.0,216.96792602539062,4.800000190734863,1.100000023841858,,21663093675,2026-01-25 16:11:04
2026-01-17,LISS,outdoor,12.78,1:11:00,1:11:38,145.0,166.0,95.0,97.0,161.4,190.8,5:33,4:33,159,885.0,63.61004638671875,2.9000000953674316,0.10000000149011612,,21575299474,2026-01-17 12:12:57
2026-01-13,Running,outdoor,3.23,0:17:00,0:17:33,158.0,168.0,15.0,10.0,164.2,176.0,5:15,4:33,161,285.0,61.99870300292969,3.0,0.0,,21537777835,2026-01-13 21:23:33
2026-01-13,Running,outdoor,3.29,0:16:50,0:16:59,162.0,173.0,22.0,5.0,162.4,179.0,5:06,4:21,166,285.0,68.11013793945312,3.0999999046325684,0.0,,21536424675,2026-01-13 19:23:37
